No.,Player,Team,Mat,Inns,NO,Runs,HS,Bat_Ave,BF,SR,hundreds,fifties,duck,fours,sixes
11,Avesh Khan,(Delhi Capitals),1,-,-,-,-,-,-,-,-,-,-,-,-
14,Basil Thampi,(Sunrisers Hyderabad),1,-,-,-,-,-,-,-,-,-,-,-,-
23,PP Chawla,(Chennai Super Kings),7,-,-,-,-,-,-,-,-,-,-,-,-
45,CJ Green,(Kolkata Knight Riders),1,-,-,-,-,-,-,-,-,-,-,-,-
47,Harpreet Brar,(Kings XI Punjab),1,-,-,-,-,-,-,-,-,-,-,-,-
48,JR Hazlewood,(Chennai Super Kings),3,-,-,-,-,-,-,-,-,-,-,-,-
62,S Kaul,(Sunrisers Hyderabad),1,-,-,-,-,-,-,-,-,-,-,-,-
73,A Mishra,(Delhi Capitals),3,-,-,-,-,-,-,-,-,-,-,-,-
77,Monu Kumar,(Chennai Super Kings),1,-,-,-,-,-,-,-,-,-,-,-,-
88,L Ngidi,(Chennai Super Kings),4,-,-,-,-,-,-,-,-,-,-,-,-
119,S Sandeep Warrier,(Kolkata Knight Riders),1,-,-,-,-,-,-,-,-,-,-,-,-
120,MJ Santner,(Chennai Super Kings),2,-,-,-,-,-,-,-,-,-,-,-,-
122,I Sharma,(Delhi Capitals),1,-,-,-,-,-,-,-,-,-,-,-,-
123,KV Sharma,(Chennai Super Kings),5,-,-,-,-,-,-,-,-,-,-,-,-
124,MM Sharma,(Delhi Capitals),1,-,-,-,-,-,-,-,-,-,-,-,-
148,J Yadav,(Mumbai Indians),2,-,-,-,-,-,-,-,-,-,-,-,-
151,A Zampa,(Royal Challengers Bangalore),3,-,-,-,-,-,-,-,-,-,-,-,-
106,KL Rahul,(Kings XI Punjab),14,14,2,670,132*,55.83,518,129.34,1,5,0,58,23
32,S Dhawan,(Delhi Capitals),17,17,3,618,106*,44.14,427,144.73,2,4,4,67,12
144,DA Warner,(Sunrisers Hyderabad),16,16,2,548,85*,39.14,407,134.64,0,4,0,52,14
54,SS Iyer,(Delhi Capitals),17,17,2,519,88*,34.6,421,123.27,0,3,0,40,16
53,Ishan Kishan,(Mumbai Indians),14,13,4,516,99,57.33,354,145.76,0,4,1,36,30
29,Q de Kock,(Mumbai Indians),16,16,2,503,78*,35.92,358,140.5,0,4,1,46,22
149,SA Yadav,(Mumbai Indians),16,15,3,480,79*,40,331,145.01,0,4,2,61,11
90,D Padikkal,(Royal Challengers Bangalore),15,15,0,473,74,31.53,379,124.8,0,5,0,51,8
64,V Kohli,(Royal Challengers Bangalore),15,15,4,466,90*,42.36,384,121.35,0,3,0,23,11
31,AB de Villiers,(Royal Challengers Bangalore),15,14,4,454,73*,45.4,286,158.74,0,5,1,33,23
36,F du Plessis,(Chennai Super Kings),13,13,2,449,87*,40.81,319,140.75,0,4,1,42,14
128,Shubman Gill,(Kolkata Knight Riders),14,14,1,440,70*,33.84,373,117.96,0,3,0,44,9
91,MK Pandey,(Sunrisers Hyderabad),16,15,2,425,83*,32.69,333,127.62,0,3,0,35,18
4,MA Agarwal,(Kings XI Punjab),11,11,0,424,106,38.54,271,156.45,1,2,0,44,15
78,EJG Morgan,(Kolkata Knight Riders),14,14,4,418,68*,41.8,302,138.41,0,1,0,32,24
117,SV Samson,(Rajasthan Royals),14,14,1,375,85,28.84,236,158.89,0,3,2,21,26
111,AT Rayudu,(Chennai Super Kings),12,11,2,359,71,39.88,282,127.3,0,1,0,30,12
101,N Pooran,(Kings XI Punjab),14,14,4,353,77,35.3,208,169.71,0,2,1,23,25
108,N Rana,(Kolkata Knight Riders),14,14,0,352,87,25.14,254,138.58,0,3,3,43,12
132,MP Stoinis,(Delhi Capitals),17,17,3,352,65,25.14,237,148.52,0,3,1,31,16
12,JM Bairstow,(Sunrisers Hyderabad),11,11,0,345,97,31.36,272,126.83,0,3,1,31,13
