,Player,Span,Mat,Runs,HS,Bat_Av,hundred,Wkts,BBI,Bowl_Av,five,Ct,St,Ave_Diff
1,RG Sharma (INDIA),2016-2021,54,1591,118,32.46,3,-,-,-,-,20,0,-
2,V Kohli (INDIA),2016-2021,50,1688,94*,51.15,0,1,Jan-15,15,0,25,0,36.15
3,KL Rahul (INDIA),2016-2021,49,1557,110*,39.92,2,-,-,-,-,17,1,-
4,IS Sodhi (NZ),2016-2021,49,76,16*,12.66,0,60,Apr-28,23,0,11,0,-10.33
5,YS Chahal (INDIA),2016-2021,48,5,3*,2.5,0,62,Jun-25,25.4,1,9,0,-22.9
6,Babar Azam (PAK),2016-2021,47,1730,97*,48.05,0,-,-,-,-,19,0,-
7,CJ Jordan (ENG),2016-2021,47,151,36,13.72,0,58,04-Jun,24.72,0,25,0,-10.99
8,S Dhawan (INDIA),2016-2021,46,1299,92,30.2,0,-,-,-,-,16,0,-
9,MJ Santner (NZ),2016-2021,46,306,37,16.1,0,49,Apr-31,23.95,0,21,0,-7.85
10,Shadab Khan (PAK),2017-2020,46,183,42,14.07,0,53,Apr-14,22.62,0,15,0,-8.54
11,AJ Finch (AUS),2016-2021,45,1430,172,37.63,1,-,-,-,-,25,0,-
12,KJ O'Brien (IRE),2016-2020,45,1108,124,25.18,1,13,Apr-45,29.53,0,19,0,-4.35
13,EJG Morgan (ENG),2016-2021,44,946,91,29.56,0,-,-,-,-,18,0,-
14,AU Rashid (ENG),2016-2021,43,32,8*,6.4,0,44,03-Nov,25.61,0,8,0,-19.21
15,GJ Maxwell (AUS),2016-2021,42,1278,145*,38.72,3,16,03-Oct,20.87,0,21,0,17.85
16,TG Southee (NZ),2017-2021,42,174,39,14.5,0,47,Apr-21,26.38,0,25,0,-11.88
17,MJ Guptill (NZ),2016-2021,41,1167,105,29.92,1,-,-,-,-,26,0,-
18,C Munro (NZ),2016-2020,41,1335,109*,34.23,3,4,01-Dec,39,0,12,0,-4.76
19,Sarfaraz Ahmed (PAK),2016-2020,41,542,89*,27.1,0,-,-,-,-,26,8,-
20,Shoaib Malik (ICC/PAK),2016-2020,41,948,58*,45.14,0,3,Feb-13,45,0,22,0,0.14
21,PR Stirling (IRE),2017-2020,41,1373,95,35.2,0,4,01-Oct,55,0,11,0,-19.79
22,Fakhar Zaman (PAK),2017-2020,40,838,91,22.05,0,0,-,-,0,19,0,-
23,Imad Wasim (PAK),2016-2020,40,216,47,12,0,39,May-14,23,1,16,0,-10.99
24,DA Miller (SA/World),2016-2021,39,784,101*,31.36,1,-,-,-,-,36,1,-
25,A Zampa (AUS),2016-2021,39,31,13*,15.5,0,43,Mar-14,21.53,0,7,0,-6.03
26,CR Brathwaite (WI),2016-2019,38,308,37*,16.21,0,30,Mar-20,31,0,18,0,-14.78
27,JJ Bumrah (INDIA),2016-2020,38,8,7,8,0,43,03-Nov,21.79,0,6,0,-13.79
28,GH Dockrell (IRE),2017-2020,38,228,34*,17.53,0,28,Mar-23,31.92,0,26,0,-14.39
29,Rashid Khan (AFG/ICC),2016-2021,38,153,33,12.75,0,77,05-Mar,11.29,2,17,0,1.45
30,Asghar Afghan (AFG),2016-2021,37,634,55,19.21,0,-,-,-,-,8,0,-
31,Mahmudullah (BDESH),2016-2020,37,861,62,31.88,0,11,Mar-18,26.72,0,12,0,5.16
32,Mohammad Nabi (AFG),2016-2021,37,765,89,28.33,0,27,04-Oct,31.37,0,23,0,-3.03
33,Najibullah Zadran (AFG),2016-2021,37,566,69*,33.29,0,-,-,-,-,19,0,-
34,MK Pandey (INDIA),2016-2020,37,690,79*,49.28,0,-,-,-,-,8,0,-
35,KS Williamson (NZ),2016-2021,36,953,95,28.87,0,3,Feb-16,14.66,0,15,0,14.21
36,JC Buttler (ENG),2016-2021,35,984,83*,37.84,0,-,-,-,-,22,3,-
37,Faheem Ashraf (PAK),2017-2021,35,214,31,12.58,0,30,03-May,25.36,0,9,0,-12.77
38,E Lewis (WI),2016-2021,35,989,125*,30.9,2,-,-,-,-,11,0,-
39,HH Pandya (INDIA),2016-2021,35,361,42*,21.23,0,28,Apr-38,29.17,0,20,0,-7.94
