No.,Player,Team,Mat,Inns,NO,Runs,HS,Bat_Ave,BF,SR,hundreds,fifties,duck,fours,sixes
1,VR Aaron,(Rajasthan Royals),3,2,1,1,1,1,10,10,0,0,0,0,0
2,Abdul Samad,(Sunrisers Hyderabad),12,8,3,111,33,22.2,65,170.76,0,0,0,8,6
3,Abhishek Sharma,(Sunrisers Hyderabad),8,7,2,71,31,14.2,56,126.78,0,0,0,6,3
4,MA Agarwal,(Kings XI Punjab),11,11,0,424,106,38.54,271,156.45,1,2,0,44,15
5,KK Ahmed,(Sunrisers Hyderabad),7,1,0,0,0,0,2,0,0,0,1,0,0
6,MM Ali,(Royal Challengers Bangalore),3,3,0,12,11,4,16,75,0,0,1,1,0
7,JC Archer,(Rajasthan Royals),14,10,4,113,27*,18.83,63,179.36,0,0,0,5,10
8,Arshdeep Singh,(Kings XI Punjab),8,1,0,0,0,0,3,0,0,0,1,0,0
9,M Ashwin,(Kings XI Punjab),9,1,0,4,4,4,4,100,0,0,0,0,0
10,R Ashwin,(Delhi Capitals),15,6,3,37,14*,12.33,34,108.82,0,0,0,3,1
11,Avesh Khan,(Delhi Capitals),1,-,-,-,-,-,-,-,-,-,-,-,-
12,JM Bairstow,(Sunrisers Hyderabad),11,11,0,345,97,31.36,272,126.83,0,3,1,31,13
13,T Banton,(Kolkata Knight Riders),2,2,0,18,10,9,20,90,0,0,0,1,1
14,Basil Thampi,(Sunrisers Hyderabad),1,-,-,-,-,-,-,-,-,-,-,-,-
15,TA Boult,(Mumbai Indians),15,1,0,0,0,0,1,0,0,0,1,0,0
16,DJ Bravo,(Chennai Super Kings),6,2,0,7,7,3.5,6,116.66,0,0,1,0,0
17,JJ Bumrah,(Mumbai Indians),15,1,1,5,5*,-,3,166.66,0,0,0,0,0
18,JC Buttler,(Rajasthan Royals),13,12,2,328,70*,32.8,227,144.49,0,2,0,27,16
19,AT Carey,(Delhi Capitals),3,3,1,32,14*,16,29,110.34,0,0,0,0,1
20,YS Chahal,(Royal Challengers Bangalore),15,2,1,1,1,1,3,33.33,0,0,0,0,0
21,DL Chahar,(Chennai Super Kings),14,3,2,7,5*,7,12,58.33,0,0,1,0,0
22,RD Chahar,(Mumbai Indians),15,1,1,2,2*,-,4,50,0,0,0,0,0
23,PP Chawla,(Chennai Super Kings),7,-,-,-,-,-,-,-,-,-,-,-,-
24,SS Cottrell,(Kings XI Punjab),6,1,0,0,0,0,2,0,0,0,1,0,0
25,NM Coulter-Nile,(Mumbai Indians),7,2,1,25,24*,25,15,166.66,0,0,0,4,0
26,PJ Cummins,(Kolkata Knight Riders),14,11,4,146,53*,20.85,114,128.07,0,1,0,9,8
27,SM Curran,(Chennai Super Kings),14,11,3,186,52,23.25,141,131.91,0,1,2,12,12
28,TK Curran,(Rajasthan Royals),5,4,3,83,54*,83,62,133.87,0,1,0,5,3
29,Q de Kock,(Mumbai Indians),16,16,2,503,78*,35.92,358,140.5,0,4,1,46,22
30,TU Deshpande,(Delhi Capitals),5,2,1,21,20*,21,12,175,0,0,0,2,1
31,AB de Villiers,(Royal Challengers Bangalore),15,14,4,454,73*,45.4,286,158.74,0,5,1,33,23
32,S Dhawan,(Delhi Capitals),17,17,3,618,106*,44.14,427,144.73,2,4,4,67,12
33,MS Dhoni,(Chennai Super Kings),14,12,4,200,47*,25,172,116.27,0,0,0,16,7
34,P Dubey,(Delhi Capitals),3,1,1,7,7*,-,13,53.84,0,0,0,0,0
35,S Dube,(Royal Challengers Bangalore),11,9,2,129,27*,18.42,105,122.85,0,0,0,5,9
36,F du Plessis,(Chennai Super Kings),13,13,2,449,87*,40.81,319,140.75,0,4,1,42,14
37,LH Ferguson,(Kolkata Knight Riders),5,2,2,43,24*,-,29,148.27,0,0,0,4,1
38,AJ Finch,(Royal Challengers Bangalore),12,12,0,268,52,22.33,241,111.2,0,1,0,28,8
39,RD Gaikwad,(Chennai Super Kings),6,6,2,204,72,51,169,120.71,0,3,2,16,6
40,PK Garg,(Sunrisers Hyderabad),14,10,1,133,51*,14.77,111,119.81,0,1,1,9,4
41,CH Gayle,(Kings XI Punjab),7,7,0,288,99,41.14,210,137.14,0,3,0,15,23
42,S Gopal,(Rajasthan Royals),14,5,1,37,23*,9.25,39,94.87,0,0,0,3,0
43,SP Goswami,(Sunrisers Hyderabad),2,2,0,0,0,0,4,0,0,0,2,0,0
44,K Gowtham,(Kings XI Punjab),2,2,1,42,22*,42,27,155.55,0,0,0,3,2
45,CJ Green,(Kolkata Knight Riders),1,-,-,-,-,-,-,-,-,-,-,-,-
46,Gurkeerat Singh,(Royal Challengers Bangalore),8,5,5,71,21*,-,80,88.75,0,0,0,8,0
47,Harpreet Brar,(Kings XI Punjab),1,-,-,-,-,-,-,-,-,-,-,-,-
48,JR Hazlewood,(Chennai Super Kings),3,-,-,-,-,-,-,-,-,-,-,-,-
49,SO Hetmyer,(Delhi Capitals),12,11,3,185,45,23.12,125,148,0,0,0,11,12
50,JO Holder,(Sunrisers Hyderabad),7,4,2,66,26*,33,53,124.52,0,0,0,5,3
51,DJ Hooda,(Kings XI Punjab),7,5,4,101,62*,101,71,142.25,0,1,1,5,5
52,Imran Tahir,(Chennai Super Kings),3,1,1,13,13*,-,10,130,0,0,0,2,0
53,Ishan Kishan,(Mumbai Indians),14,13,4,516,99,57.33,354,145.76,0,4,1,36,30
54,SS Iyer,(Delhi Capitals),17,17,2,519,88*,34.6,421,123.27,0,3,0,40,16
55,RA Jadeja,(Chennai Super Kings),14,11,6,232,50,46.4,135,171.85,0,1,0,22,11
56,KM Jadhav,(Chennai Super Kings),8,5,2,62,26,20.66,66,93.93,0,0,0,7,0
57,N Jagadeesan,(Chennai Super Kings),5,2,0,33,33,16.5,29,113.79,0,0,1,4,0
58,YBK Jaiswal,(Rajasthan Royals),3,3,0,40,34,13.33,44,90.9,0,0,1,2,2
59,CJ Jordan,(Kings XI Punjab),9,5,2,29,13,9.66,31,93.54,0,0,0,2,0
60,KD Karthik,(Kolkata Knight Riders),14,14,2,169,58,14.08,134,126.11,0,1,3,20,4
61,Kartik Tyagi,(Rajasthan Royals),10,3,2,4,2*,4,6,66.66,0,0,0,0,0
62,S Kaul,(Sunrisers Hyderabad),1,-,-,-,-,-,-,-,-,-,-,-,-
63,SN Khan,(Kings XI Punjab),5,3,1,33,14*,16.5,29,113.79,0,0,0,5,0
64,V Kohli,(Royal Challengers Bangalore),15,15,4,466,90*,42.36,384,121.35,0,3,0,23,11
65,Kuldeep Yadav,(Kolkata Knight Riders),5,2,1,13,12,13,21,61.9,0,0,0,1,0
66,DS Kulkarni,(Mumbai Indians),1,1,1,3,3*,-,2,150,0,0,0,0,0
67,B Kumar,(Sunrisers Hyderabad),4,1,0,0,0,0,2,0,0,0,1,0,0
68,MK Lomror,(Rajasthan Royals),3,3,0,59,47,19.66,54,109.25,0,0,0,2,3
69,Mandeep Singh,(Kings XI Punjab),7,7,1,130,66*,21.66,109,119.26,0,1,2,10,4
70,MR Marsh,(Sunrisers Hyderabad),1,1,0,0,0,0,1,0,0,0,1,0,0
