"","Player","Span","Mat","Inns","Dis","Ct","St","Ct_Wk","Ct_Fi","MD","DI"
"1","MS Dhoni (INDIA)","2016-2019","34","34","37","21","16","21","0","5 (5ct 0st)","1.088"
"2","DA Miller (SA/World)","2016-2021","39","39","37","36","1","1","35","4 (4ct 0st)","0.948"
"3","Sarfaraz Ahmed (PAK)","2016-2020","41","41","34","26","8","26","0","3 (2ct 1st)","0.829"
"4","SA Edwards (NL)","2018-2019","29","28","28","24","4","24","0","3 (3ct 0st)","1.000"
"5","GH Dockrell (IRE)","2017-2020","38","38","26","26","0","0","26","3 (3ct 0st)","0.684"
"6","MJ Guptill (NZ)","2016-2021","41","40","26","26","0","0","26","3 (3ct 0st)","0.650"
"7","TL Seifert (NZ)","2018-2021","35","35","26","20","6","20","0","3 (3ct 0st)","0.742"
"8","JC Buttler (ENG)","2016-2021","35","35","25","22","3","21","1","3 (3ct 0st)","0.714"
"9","AJ Finch (AUS)","2016-2021","45","44","25","25","0","0","25","3 (3ct 0st)","0.568"
"10","CJ Jordan (ENG)","2016-2021","47","46","25","25","0","0","25","3 (3ct 0st)","0.543"
"11","V Kohli (INDIA)","2016-2021","50","48","25","25","0","0","25","3 (3ct 0st)","0.520"
"12","TG Southee (NZ)","2017-2021","42","41","25","25","0","0","25","2 (2ct 0st)","0.609"
"13","AT Carey (AUS)","2018-2020","30","29","23","14","9","14","0","3 (1ct 2st)","0.793"
"14","Q de Kock (SA)","2016-2020","22","22","23","19","4","19","0","4 (3ct 1st)","1.045"
"15","Mohammad Nabi (AFG)","2016-2021","37","37","23","23","0","0","23","3 (3ct 0st)","0.621"
"16","Shoaib Malik (ICC/PAK)","2016-2020","41","41","22","22","0","0","22","3 (3ct 0st)","0.536"
"17","GJ Maxwell (AUS)","2016-2021","42","41","21","21","0","0","21","2 (2ct 0st)","0.512"
"18","MJ Santner (NZ)","2016-2021","46","45","21","21","0","0","21","3 (3ct 0st)","0.466"
"19","Mohammed Rizlan (QAT)","2019-2020","22","22","20","13","7","13","0","3 (2ct 1st)","0.909"
"20","HH Pandya (INDIA)","2016-2021","35","34","20","20","0","0","20","2 (2ct 0st)","0.588"
"21","RG Sharma (INDIA)","2016-2021","54","53","20","20","0","0","20","3 (3ct 0st)","0.377"
"22","AC Agar (AUS)","2016-2021","31","31","19","19","0","0","19","2 (2ct 0st)","0.612"
"23","Babar Azam (PAK)","2016-2021","47","47","19","19","0","0","19","2 (2ct 0st)","0.404"
"24","Fakhar Zaman (PAK)","2017-2020","40","40","19","19","0","0","19","2 (2ct 0st)","0.475"
"25","Najibullah Zadran (AFG)","2016-2021","37","37","19","19","0","0","19","2 (2ct 0st)","0.513"
"26","KJ O'Brien (IRE)","2016-2020","45","45","19","19","0","0","19","2 (2ct 0st)","0.422"
"27","CR Brathwaite (WI)","2016-2019","38","38","18","18","0","0","18","2 (2ct 0st)","0.473"
"28","BN Cooper (NL)","2017-2019","28","28","18","18","0","0","18","2 (2ct 0st)","0.642"
"29","MH Cross (SCOT)","2017-2019","24","24","18","12","6","12","0","2 (2ct 0st)","0.750"
"30","CS MacLeod (SCOT)","2017-2019","25","25","18","18","0","0","18","4 (4ct 0st)","0.720"
"31","EJG Morgan (ENG)","2016-2021","44","43","18","18","0","0","18","2 (2ct 0st)","0.418"
"32","KL Rahul (INDIA)","2016-2021","49","47","18","17","1","4","13","2 (2ct 0st)","0.382"
"33","GC Wilson (IRE)","2017-2020","35","35","18","15","3","14","1","3 (3ct 0st)","0.514"
"34","C de Grandhomme (NZ)","2017-2020","32","32","17","17","0","0","17","4 (4ct 0st)","0.531"
"35","Mushfiqur Rahim (BDESH)","2016-2020","32","32","17","10","7","10","0","2 (2ct 0st)","0.531"
"36","GD Phillips (NZ)","2017-2021","22","21","17","15","2","7","8","4 (3ct 1st)","0.809"
"37","N Pooran (WI)","2016-2021","27","26","17","16","1","12","4","3 (3ct 0st)","0.653"
"38","Rashid Khan (AFG/ICC)","2016-2021","38","38","17","17","0","0","17","2 (2ct 0st)","0.447"
"39","Soumya Sarkar (BDESH)","2016-2020","34","34","17","17","0","0","17","2 (2ct 0st)","0.500"
"40","BDH Stevens (JER)","2019-2019","17","17","17","17","0","0","17","3 (3ct 0st)","1.000"
"41","S Dhawan (INDIA)","2016-2021","46","45","16","16","0","0","16","2 (2ct 0st)","0.355"
"42","K Doriga (PNG)","2019-2019","17","17","16","15","1","15","0","5 (5ct 0st)","0.941"
"43","Imad Wasim (PAK)","2016-2020","40","40","16","16","0","0","16","2 (2ct 0st)","0.400"
"44","JW Jenner (JER)","2019-2019","17","17","16","16","0","0","16","4 (4ct 0st)","0.941"
"45","KA Pollard (WI)","2016-2021","34","33","16","16","0","0","16","2 (2ct 0st)","0.484"
"46","TC Bruce (NZ)","2017-2020","17","16","15","15","0","1","14","3 (3ct 0st)","0.937"
"47","S Chandramohan (SGP)","2019-2020","15","15","15","15","0","0","15","3 (3ct 0st)","1.000"
"48","Ghulam Shabber (UAE)","2016-2019","17","17","15","14","1","14","0","2 (2ct 0st)","0.882"
"49","ZE Green (NAM)","2019-2019","16","16","15","10","5","10","0","4 (3ct 1st)","0.937"
"50","Liton Das (BDESH)","2017-2020","26","26","15","15","0","2","13","3 (3ct 0st)","0.576"
"51","Mohammad Shahzad (AFG)","2016-2018","20","20","15","6","9","6","0","3 (2ct 1st)","0.750"
"52","Nizakat Khan (HKG)","2016-2020","24","24","15","15","0","0","15","2 (2ct 0st)","0.625"
"53","NLTC Perera (ICC/SL/World)","2016-2021","35","35","15","15","0","0","15","2 (2ct 0st)","0.428"
"54","SK Raina (INDIA)","2016-2018","20","20","15","15","0","0","15","3 (3ct 0st)","0.750"
"55","D Ramdin (WI)","2016-2019","18","18","15","13","2","13","0","4 (4ct 0st)","0.833"
"56","Shadab Khan (PAK)","2017-2020","46","46","15","15","0","0","15","3 (3ct 0st)","0.326"
"57","SR Thompson (IRE)","2017-2019","24","24","15","15","0","0","15","3 (3ct 0st)","0.625"
"58","KS Williamson (NZ)","2016-2021","36","35","15","15","0","0","15","2 (2ct 0st)","0.428"
"59","LD Chandimal (SL)","2016-2021","18","18","14","9","5","6","3","4 (3ct 1st)","0.777"
"60","L Siaka (PNG)","2017-2019","20","20","14","14","0","0","14","4 (4ct 0st)","0.700"
"61","Sultan Ahmed (UAE)","2017-2020","22","22","14","14","0","0","14","3 (3ct 0st)","0.636"
"62","J Vira (VAN)","2019-2019","14","14","14","10","4","10","0","3 (3ct 0st)","1.000"
"63","Virandeep Singh (MAL)","2019-2020","21","21","14","10","4","4","6","2 (2ct 0st)","0.666"
"64","CAK Walton (WI)","2016-2018","17","17","14","12","2","10","2","3 (3ct 0st)","0.823"
"65","DA Warner (AUS)","2016-2020","24","24","14","14","0","0","14","3 (3ct 0st)","0.583"
"66","A Balbirnie (IRE)","2018-2020","33","33","13","13","0","0","13","2 (2ct 0st)","0.393"
"67","Hamza Tariq (CAN)","2019-2019","12","12","13","9","4","9","0","2 (2ct 0st)","1.083"
"68","Manpreet Singh (SGP)","2019-2020","15","15","13","7","6","7","0","2 (2ct 0st)","0.866"
"69","RR Pant (INDIA)","2017-2021","32","30","13","8","5","6","2","2 (2ct 0st)","0.433"
"70","MP Stoinis (AUS)","2017-2021","27","26","13","13","0","0","13","2 (2ct 0st)","0.500"
"71","Tamoor Sajjad (QAT)","2019-2020","16","16","13","13","0","0","13","2 (2ct 0st)","0.812"
"72","HT Tector (IRE)","2019-2020","20","20","13","13","0","0","13","2 (2ct 0st)","0.650"
"73","JM Bairstow (ENG)","2016-2021","31","30","12","12","0","5","7","2 (2ct 0st)","0.400"
"74","SS Cottrell (WI)","2018-2020","24","23","12","12","0","0","12","2 (2ct 0st)","0.521"
"75","TH David (SGP)","2019-2020","14","14","12","12","0","0","12","4 (4ct 0st)","0.857"
"76","N Dickwella (SL)","2017-2021","23","23","12","11","1","10","1","2 (2ct 0st)","0.521"
"77","KD Karthik (ICC/INDIA)","2017-2019","23","23","12","9","3","6","3","3 (3ct 0st)","0.521"
"78","P Khadka (NEPAL)","2018-2020","22","22","12","12","0","0","12","3 (3ct 0st)","0.545"
"79","H Klaasen (SA)","2018-2021","16","16","12","11","1","6","5","2 (2ct 0st)","0.750"
