team_name,Player_name,NATIONALITY,Mat,Inns,Runs,Overs,SR,St,Wkts,4,5,Season,Mdns,Econ,Ave,dream_11_points,consistency
DC,AMishra,IND,126.0,126.0,3261.0,439.1,0.0,0.0,134.0,3.0,1.0,older_season,5.0,74.88999999999999,265.26,3610.0,28.650793650793652
KKR,HarbhajanSingh,IND,136.0,134.0,3385.0,486.3,252.79999999999998,0.0,127.0,1.0,1.0,older_season,5.0,70.42,296.31,3591.0,26.79850746268657
CSK,DJBravo,INT,106.0,103.0,2755.0,335.3,159.0,0.0,122.0,2.0,0.0,older_season,1.0,65.46000000000001,219.55,3564.0,34.601941747572816
MI,PPChawla,IND,129.0,128.0,3261.0,425.9,207.10000000000002,0.0,126.0,2.0,0.0,older_season,2.0,77.28999999999999,265.03,3440.0,26.875
SRH,BKumar,IND,90.0,90.0,2339.0,329.70000000000005,139.79999999999998,0.0,111.0,2.0,1.0,older_season,6.0,48.78,161.78,3053.0,33.922222222222224
DC,RAshwin,IND,111.0,108.0,2499.0,381.0,176.60000000000002,0.0,100.0,1.0,0.0,older_season,4.0,49.150000000000006,187.22,2758.0,25.537037037037038
KKR,SPNarine,INT,82.0,81.0,2031.0,320.5,136.3,0.0,95.0,6.0,1.0,older_season,2.0,38.69,151.03,2603.0,32.135802469135804
DC,UTYadav,IND,94.0,93.0,2707.0,321.8,201.2,0.0,91.0,2.0,0.0,older_season,2.0,67.92999999999999,289.81999999999994,2499.0,26.870967741935484
CSK,RAJadeja,IND,138.0,112.0,2506.0,320.1,208.2,0.0,82.0,3.0,1.0,older_season,0.0,71.5,272.85,2436.0,21.75
MI,DSKulkarni,IND,72.0,72.0,1881.0,235.20000000000002,214.2,0.0,76.0,1.0,0.0,older_season,7.0,82.13999999999999,297.99,2118.0,29.416666666666668
MI,KAPollard,INT,123.0,81.0,1770.0,198.70000000000002,175.6,0.0,56.0,1.0,0.0,older_season,0.0,83.09,276.43,1954.0,24.123456790123456
SRH,SandeepSharma,IND,56.0,56.0,1587.0,204.1,85.2,0.0,71.0,2.0,0.0,older_season,8.0,38.85,109.26,1951.0,34.839285714285715
RCB,YSChahal,IND,56.0,55.0,1569.0,197.89999999999998,72.3,0.0,70.0,1.0,0.0,older_season,1.0,40.169999999999995,93.07,1882.0,34.21818181818182
MI,JJBumrah,IND,45.0,45.0,,175.4,,0.0,63.0,2.0,0.0,New_season,3.0,20.240000000000002,,1681.0,37.355555555555554
DC,ARPatel,IND,59.0,59.0,1547.0,207.9,0.0,0.0,58.0,1.0,0.0,older_season,2.0,30.18,107.94,1668.0,28.271186440677965
DC,ISharma,IND,76.0,76.0,2229.0,271.5,264.7,0.0,58.0,0.0,1.0,older_season,3.0,79.41,409.3,1620.0,21.31578947368421
SRH,RashidKhan,INT,48.0,48.0,,192.0,,0.0,58.0,0.0,0.0,New_season,4.0,18.380000000000003,,1610.0,33.541666666666664
RR,JDUnadkat,IND,47.0,46.0,1308.0,162.8,88.2,0.0,56.0,0.0,2.0,older_season,3.0,76.77,118.12,1562.0,33.95652173913044
DC,KRabada,INT,29.0,29.0,,112.4,,0.0,55.0,4.0,0.0,New_season,1.0,16.16,,1531.0,52.793103448275865
RR,CHMorris,INT,48.0,48.0,1260.0,167.0,75.1,0.0,53.0,2.0,0.0,older_season,0.0,30.16,94.34,1509.0,31.4375
MI,TABoult,INT,34.0,34.0,,128.60000000000002,,0.0,48.0,1.0,0.0,New_season,4.0,25.38,,1376.0,40.470588235294116
RCB,YSChahal,IND,43.0,43.0,,156.3,,0.0,51.0,1.0,0.0,New_season,2.0,22.16,,1355.0,31.511627906976745
CSK,KVSharma,IND,56.0,55.0,1323.0,171.0,77.19999999999999,0.0,49.0,2.0,0.0,older_season,1.0,39.78,95.62,1349.0,24.527272727272727
