Player_name,NATIONALITY,team_name,international_matches,ipl_matches_older,ipl_matches_New,international_Inns,ipl_Inns_older,ipl_Inns_New,international_Overs,ipl_Overs_older,ipl_Overs_New,international_Mdns,ipl_Mdns_older,ipl_Mdns_New,international_Runs,ipl_Runs_older,ipl_Runs_New,international_Wkts,ipl_Wkts_older,ipl_Wkts_New,international_Ave,ipl_Ave_older,ipl_Ave_New,international_Econ,ipl_Econ_older,ipl_Econ_New,international_SR,ipl_SR_older,ipl_SR_New,international_four,ipl_four_older,ipl_four_New,international_five,ipl_five_older,ipl_five_New,international_dream_11_points,ipl_dream_11_points_older,ipl_dream_11_points_New,international_consistency,ipl_consistency_older,ipl_consistency_New,dream_11_points_final_points
PPChawla,IND,MI,0,129,35,0,128,35,0,425.9,114.3,0,2,0,0,3261,0,0,126,30,0,265.03,0,0,77.29,26.45,0,207.1,0,0,2,0,0,0,0,0,3440,822,0,26.88,23.49,1607.4
YSChahal,IND,RCB,48,56,43,48,55,43,187.3,197.9,156.3,1,1,2,1575,1569,0,62,70,51,25.4,93.07,0,8.4,40.17,22.16,18.1,72.3,0,2,1,1,1,0,0,1594,1882,1355,33.21,34.22,31.51,1537.37
HarbhajanSingh,IND,KKR,0,136,24,0,134,23,0,486.3,75.5,0,5,1,0,3385,0,0,127,23,0,296.31,0,0,70.42,15.57,0,252.8,0,0,1,0,0,1,0,0,3591,657,0,26.8,28.57,1537.2
JJBumrah,IND,MI,38,47,45,37,47,45,135.4,172.6,175.4,4,3,3,937,1401,0,43,46,63,21.79,193.92,0,6.9,45.05,20.24,18.9,130.2,0,0,0,2,0,0,0,1125,1202,1681,30.41,25.57,37.36,1413.61
DJBravo,INT,CSK,18,106,34,17,103,34,64.1,335.3,115.4,0,1,1,483,2755,0,20,122,31,24.15,219.55,0,7.52,65.46,26.54,19.2,159,0,0,2,0,0,0,0,500,3564,907,29.41,34.6,26.68,1342.87
SandeepSharma,IND,SRH,0,56,36,0,56,36,0,204.1,138.4,0,8,0,0,1587,0,0,71,38,0,109.26,0,0,38.85,23,0,85.2,0,0,2,0,0,0,0,0,1951,974,0,34.84,27.06,1267.1
BKumar,IND,SRH,33,90,31,32,90,31,115.2,329.7,119.2,0,6,2,856,2339,0,27,111,25,31.7,161.78,0,7.42,48.78,22.45,25.6,139.8,0,0,2,0,1,1,0,691,3053,699,21.59,33.92,22.55,1190.94
AMishra,IND,DC,3,126,24,3,126,24,12,439.1,87,0,5,1,72,3261,0,5,134,26,14.4,265.26,0,6,74.89,21.08,14.4,0,0,0,3,0,0,1,0,127,3610,680,42.33,28.65,28.33,1129.4
RAshwin,IND,DC,7,111,43,7,108,43,22,381,156.4,0,4,0,169,2499,0,5,100,38,33.8,187.22,0,7.68,49.15,23.02,26.4,176.6,0,0,1,0,0,0,0,125,2758,1038,17.86,25.54,24.14,1125.3
RAJadeja,IND,CSK,17,138,46,16,112,43,50.3,320.1,131.2,1,0,1,370,2506,0,13,82,32,28.46,272.85,0,7.32,71.5,22.49,23.3,208.2,0,0,3,0,0,1,0,337,2436,1014,21.06,21.75,23.58,1109.52
SPNarine,INT,KKR,17,82,38,16,81,38,59,320.5,143.2,0,2,1,395,2031,0,12,95,32,32.91,151.03,0,6.69,38.69,23.41,29.5,136.3,0,0,6,0,0,1,0,302,2603,836,18.88,32.14,22,1046.87
TABoult,INT,MI,23,14,34,23,14,34,84.5,55.5,128.6,0,0,4,748,491,0,31,15,48,24.12,108.42,0,8.81,27.23,25.38,16.4,71.2,0,1,0,1,0,0,0,783,399,1376,34.04,28.5,40.47,992.93
JCArcher,INT,RR,11,0,35,11,0,35,41,0,136.9,1,0,2,308,0,0,11,0,46,28,0,0,7.51,0,21.67,22.3,0,0,0,0,0,0,0,0,287,0,1250,26.09,0,35.71,961.1
UTYadav,IND,DC,6,94,27,6,93,27,22,321.8,97.6,0,2,1,195,2707,0,8,91,28,24.37,289.82,0,8.86,67.93,29.51,16.5,201.2,0,0,2,0,0,0,0,200,2499,756,33.33,26.87,28,955.23
ImranTahir,INT,CSK,15,32,26,15,32,26,54.5,118.8,95.6,0,0,1,370,992,0,26,47,33,14.23,88.03,0,6.74,33.51,22.68,12.6,62.8,0,0,1,2,2,0,0,684,1223,921,45.6,38.22,35.42,913.32
