No.,Player,Team,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ball_Ave,Econ,SR,four_wkt,five_wkt,Ct,St
4,MA Agarwal,(Kings XI Punjab),11,-,-,-,-,-,-,-,-,-,-,-,6,0
12,JM Bairstow,(Sunrisers Hyderabad),11,-,-,-,-,-,-,-,-,-,-,-,7,1
13,T Banton,(Kolkata Knight Riders),2,-,-,-,-,-,-,-,-,-,-,-,0,0
18,JC Buttler,(Rajasthan Royals),13,-,-,-,-,-,-,-,-,-,-,-,6,0
19,AT Carey,(Delhi Capitals),3,-,-,-,-,-,-,-,-,-,-,-,2,0
29,Q de Kock,(Mumbai Indians),16,-,-,-,-,-,-,-,-,-,-,-,18,4
31,AB de Villiers,(Royal Challengers Bangalore),15,-,-,-,-,-,-,-,-,-,-,-,10,1
32,S Dhawan,(Delhi Capitals),17,-,-,-,-,-,-,-,-,-,-,-,5,0
33,MS Dhoni,(Chennai Super Kings),14,-,-,-,-,-,-,-,-,-,-,-,15,1
36,F du Plessis,(Chennai Super Kings),13,-,-,-,-,-,-,-,-,-,-,-,12,0
38,AJ Finch,(Royal Challengers Bangalore),12,-,-,-,-,-,-,-,-,-,-,-,3,0
39,RD Gaikwad,(Chennai Super Kings),6,-,-,-,-,-,-,-,-,-,-,-,4,0
40,PK Garg,(Sunrisers Hyderabad),14,-,-,-,-,-,-,-,-,-,-,-,6,0
43,SP Goswami,(Sunrisers Hyderabad),2,-,-,-,-,-,-,-,-,-,-,-,1,0
46,Gurkeerat Singh,(Royal Challengers Bangalore),8,-,-,-,-,-,-,-,-,-,-,-,5,0
49,SO Hetmyer,(Delhi Capitals),12,-,-,-,-,-,-,-,-,-,-,-,7,0
53,Ishan Kishan,(Mumbai Indians),14,-,-,-,-,-,-,-,-,-,-,-,1,0
54,SS Iyer,(Delhi Capitals),17,-,-,-,-,-,-,-,-,-,-,-,6,0
56,KM Jadhav,(Chennai Super Kings),8,-,-,-,-,-,-,-,-,-,-,-,1,0
