"","Player","Span","Mat","Inns","Overs","Mdns","Runs","Wkts","BBI","Ave","Econ","SR","four","five"
"1","Rashid Khan (AFG/ICC)","2016-2021","38","38","144.0","1","870","77","5/3","11.29","6.04","11.2","3","2"
"2","YS Chahal (INDIA)","2016-2021","48","48","187.3","1","1575","62","6/25","25.40","8.40","18.1","2","1"
"3","IS Sodhi (NZ)","2016-2021","49","47","168.3","0","1380","60","4/28","23.00","8.18","16.8","1","0"
"4","CJ Jordan (ENG)","2016-2021","47","46","162.5","1","1430","58","4/6","24.65","8.78","16.8","2","0"
"5","Shadab Khan (PAK)","2017-2020","46","44","164.3","1","1199","53","4/14","22.62","7.28","18.6","1","0"
"6","MJ Santner (NZ)","2016-2021","46","45","154.2","1","1174","49","4/31","23.95","7.60","18.8","1","0"
"7","TG Southee (NZ)","2017-2021","42","41","150.0","0","1240","47","4/21","26.38","8.26","19.1","1","0"
"8","Mustafizur Rahman (BDESH)","2016-2020","31","31","110.5","3","970","45","5/22","21.55","8.75","14.7","1","1"
"9","JJ Bumrah (INDIA)","2016-2020","38","37","135.4","4","937","43","3/11","21.79","6.90","18.9","0","0"
"10","AU Rashid (ENG)","2016-2021","43","41","149.0","1","1114","43","3/11","25.90","7.47","20.7","0","0"
"11","A Zampa (AUS)","2016-2021","39","38","132.5","1","926","43","3/14","21.53","6.97","18.5","0","0"
"12","KOK Williams (WI)","2016-2020","26","26","91.5","2","805","41","4/28","19.63","8.76","13.4","1","0"
"13","Imad Wasim (PAK)","2016-2020","40","39","144.0","3","897","39","5/14","23.00","6.22","22.1","0","1"
"14","Kuldeep Yadav (INDIA)","2017-2020","21","20","75.3","1","537","39","5/24","13.76","7.11","11.6","1","1"
"15","Iqbal Hussain (QAT)","2019-2020","22","22","79.0","0","604","38","4/16","15.89","7.64","12.4","2","0"
"16","AL Phehlukwayo (SA)","2017-2021","30","29","94.4","0","799","38","4/24","21.02","8.44","14.9","1","0"
"17","AC Agar (AUS)","2016-2021","31","31","106.0","1","718","37","6/30","19.40","6.77","17.1","0","2"
"18","Bilal Khan (OMAN)","2017-2020","23","23","81.0","3","546","37","4/19","14.75","6.74","13.1","2","0"
