Player_name,NATIONALITY,team_name,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,hundred,fifties,duck,fours,sixes,dream_11_points,consistency
MSDhoni,IND,CSK,2016-2019,34.0,29.0,15,635.0,56,45.35,468,135.68,0.0,2.0,0.0,50.0,21.0,745.0,25.689655172413794
ATRayudu,IND,CSK,2016-2016,3.0,2.0,0,39.0,20,19.5,42,92.85,0.0,0.0,0.0,5.0,0.0,44.0,22.0
KMAsif,IND,CSK,0,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DJBravo,INT,CSK,2016-2021,18.0,12.0,2,164.0,55,16.4,177,92.65,0.0,1.0,1.0,10.0,6.0,192.0,16.0
DLChahar,IND,CSK,2018-2020,13.0,4.0,4,1.0,1*,0,1,100.0,0.0,0.0,0.0,0.0,0.0,1.0,0.25
FduPlessis,INT,CSK,2016-2020,19.0,19.0,1,533.0,78,29.61,400,133.25,0.0,3.0,0.0,50.0,20.0,649.0,34.1578947368421
ImranTahir,INT,CSK,2016-2019,15.0,2.0,1,2.0,1*,2,7,28.57,0.0,0.0,0.0,0.0,0.0,-4.0,-2.0
NJagadeesan,IND,CSK,0,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JRHazlewood,INT,CSK,2016-2020,4.0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-6.0,0.0
KVSharma,IND,CSK,0,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LNgidi,INT,CSK,2017-2020,16.0,4.0,1,7.0,4,2.33,15,46.66,0.0,0.0,1.0,0.0,0.0,-1.0,-0.25
MJSantner,INT,CSK,2016-2021,46.0,33.0,14,306.0,37,16.1,227,134.8,0.0,0.0,3.0,22.0,11.0,346.0,10.484848484848484
RSaiKishore,IND,CSK,0,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RAJadeja,IND,CSK,2016-2020,17.0,8.0,5,126.0,44*,42,85,148.23,0.0,0.0,0.0,8.0,5.0,146.0,18.25
RVUthappa,IND,CSK,0,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RDGaikwad,IND,CSK,0,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SMCurran,INT,CSK,2019-2021,11.0,6.0,2,49.0,24,12.25,36,136.11,0.0,0.0,0.0,4.0,3.0,61.0,10.166666666666666
SNThakur,IND,CSK,2018-2021,20.0,4.0,2,59.0,22*,29.5,31,190.32,0.0,0.0,1.0,3.0,4.0,74.0,18.5
SKRaina,IND,CSK,2016-2018,20.0,17.0,0,442.0,69,26,316,139.87,0.0,2.0,2.0,37.0,19.0,531.0,31.235294117647058
MMAli,INT,CSK,2016-2020,21.0,18.0,7,255.0,61,23.18,177,144.06,0.0,1.0,1.0,19.0,14.0,310.0,17.22222222222222
KrishnappaGowtham,IND,CSK,0,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CAPujara,IND,CSK,0,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HarishankarReddy,IND,CSK,0,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHariNishaanth,IND,CSK,0,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BhagathVarma,IND,CSK,0,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SSIyer,IND,DC,2017-2021,27.0,25.0,7,513.0,67,28.5,393,130.53,0.0,3.0,2.0,39.0,21.0,616.0,24.64
AMRahane,IND,DC,2016-2016,3.0,3.0,1,51.0,40,25.5,46,110.86,0.0,0.0,0.0,3.0,0.0,54.0,18.0
AMishra,IND,DC,2016-2017,3.0,1.0,0,0.0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,-8.0,-8.0
ANortje,INT,DC,2019-2020,5.0,1.0,0,2.0,2,2,6,33.33,0.0,0.0,0.0,0.0,0.0,-4.0,-4.0
AveshKhan,IND,DC,0,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARPatel,IND,DC,2016-2021,8.0,5.0,3,51.0,20*,25.5,27,188.88,0.0,0.0,0.0,3.0,3.0,66.0,13.2
CRWoakes,INT,DC,0,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ISharma,IND,DC,0,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KRabada,INT,DC,2016-2020,13.0,5.0,1,32.0,22,8,33,96.96,0.0,0.0,2.0,3.0,2.0,35.0,7.0
LalithYadav,IND,DC,0,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MPStoinis,INT,DC,2017-2021,27.0,22.0,7,366.0,78,24.4,273,134.06,0.0,1.0,1.0,33.0,13.0,433.0,19.681818181818183
PDubey,IND,DC,0,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PPShaw,IND,DC,0,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RAshwin,IND,DC,2016-2017,7.0,2.0,2,16.0,11*,0,9,177.77,0.0,0.0,0.0,2.0,0.0,24.0,12.0
RRPant,IND,DC,2017-2021,31.0,28.0,5,482.0,65*,20.95,393,122.64,0.0,2.0,3.0,35.0,21.0,569.0,20.321428571428573
SDhawan,IND,DC,2016-2021,46.0,44.0,1,1299.0,92,30.2,995,130.55,0.0,9.0,0.0,137.0,39.0,1588.0,36.09090909090909
SOHetmyer,INT,DC,2018-2020,27.0,23.0,3,379.0,56,18.95,324,116.97,0.0,1.0,3.0,24.0,20.0,445.0,19.347826086956523
SPDSmith,INT,DC,2016-2020,19.0,16.0,4,446.0,80*,37.16,330,135.15,0.0,3.0,0.0,40.0,11.0,534.0,33.375
UTYadav,IND,DC,2018-2019,6.0,1.0,0,2.0,2,2,4,50.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0
