team_name,Player_name,NATIONALITY,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,Season,NO in HS,dream_11_points,ball_for_4,ball_for_6,consistency
SRH,DAWarner,INT,28.0,28.0,,1240.0,,,888.0,278.5,1.0,12.0,0.0,109.0,35.0,New_season,1.0,1535.0,8.146788990825687,25.37142857142857,54.82142857142857
SRH,DAWarner,INT,114.0,114.0,15.0,4014.0,821.0,354.57000000000005,2824.0,1270.1100000000001,3.0,36.0,7.0,401.0,160.0,older_season,3.0,5075.0,7.042394014962594,17.65,44.51754385964912
SRH,KSWilliamson,INT,38.0,37.0,,1208.0,,,883.0,396.19,0.0,12.0,1.0,101.0,43.0,New_season,1.0,1493.0,8.742574257425742,20.53488372093023,40.351351351351354
SRH,KSWilliamson,INT,15.0,15.0,2.0,411.0,165.0,94.32,318.0,367.90999999999997,0.0,3.0,0.0,35.0,11.0,older_season,1.0,496.0,9.085714285714285,28.90909090909091,33.06666666666667
SRH,MKPandey,IND,43.0,39.0,,1053.0,,,842.0,373.85,0.0,9.0,1.0,91.0,29.0,New_season,2.0,1274.0,9.252747252747254,29.03448275862069,32.666666666666664
SRH,VShankar,IND,4.0,4.0,2.0,101.0,63.0,50.5,75.0,134.66,0.0,1.0,0.0,12.0,1.0,older_season,1.0,125.0,6.25,75.0,31.25
SRH,MKPandey,IND,103.0,96.0,18.0,2215.0,631.0,308.45,1844.0,1125.4799999999998,1.0,9.0,11.0,197.0,64.0,older_season,4.0,2604.0,9.360406091370558,28.8125,27.125
SRH,WPSaha,IND,20.0,19.0,,422.0,,,308.0,421.72,0.0,2.0,1.0,54.0,7.0,New_season,0.0,510.0,5.703703703703703,44.0,26.842105263157894
SRH,WPSaha,IND,104.0,80.0,19.0,1557.0,503.0,275.45,1191.0,1235.6499999999999,1.0,6.0,2.0,130.0,57.0,older_season,5.0,1865.0,9.161538461538461,20.894736842105264,23.3125
SRH,VShankar,IND,35.0,30.0,,553.0,,,437.0,370.70000000000005,0.0,2.0,1.0,32.0,24.0,New_season,2.0,649.0,13.65625,18.208333333333332,21.633333333333333
SRH,MRMarsh,INT,20.0,14.0,2.0,225.0,97.0,66.0,196.0,391.07,0.0,0.0,0.0,9.0,14.0,older_season,0.0,262.0,21.77777777777778,14.0,18.714285714285715
SRH,KMJadhav,IND,64.0,57.0,19.0,893.0,287.0,128.71,662.0,893.86,0.0,3.0,5.0,72.0,33.0,older_season,3.0,1055.0,9.194444444444445,20.060606060606062,18.50877192982456
SRH,MohammadNabi,INT,11.0,10.0,,144.0,,,96.0,438.81,0.0,0.0,0.0,13.0,7.0,New_season,0.0,179.0,7.384615384615385,13.714285714285714,17.9
SRH,SPGoswami,IND,23.0,16.0,1.0,241.0,149.0,82.88,251.0,467.78000000000003,0.0,1.0,2.0,26.0,2.0,older_season,0.0,275.0,9.653846153846153,125.5,17.1875
SRH,AbdulSamad,IND,12.0,8.0,,111.0,,,65.0,170.76,0.0,0.0,0.0,8.0,6.0,New_season,0.0,137.0,8.125,10.833333333333334,17.125
SRH,KMJadhav,IND,23.0,18.0,,248.0,,,257.0,298.87,0.0,1.0,1.0,27.0,5.0,New_season,1.0,291.0,9.518518518518519,51.4,16.166666666666668
SRH,AbhishekSharma,IND,14.0,13.0,,143.0,,,98.0,417.67999999999995,0.0,0.0,0.0,10.0,8.0,New_season,2.0,175.0,9.8,12.25,13.461538461538462
SRH,SPGoswami,IND,8.0,5.0,,52.0,,,44.0,130.0,0.0,0.0,2.0,6.0,1.0,New_season,0.0,50.0,7.333333333333333,44.0,10.0
SRH,RashidKhan,INT,48.0,22.0,,128.0,,,84.0,454.79999999999995,0.0,0.0,6.0,8.0,10.0,New_season,2.0,152.0,10.5,8.4,6.909090909090909
SRH,BasilThampi,IND,12.0,5.0,5.0,28.0,13.0,0.0,28.0,100.0,0.0,0.0,0.0,1.0,1.0,older_season,1.0,31.0,28.0,28.0,6.2
SRH,BKumar,IND,90.0,34.0,15.0,158.0,73.0,49.91,157.0,727.48,0.0,0.0,3.0,15.0,3.0,older_season,5.0,177.0,10.466666666666667,52.333333333333336,5.205882352941177
SRH,SNadeem,IND,13.0,3.0,,13.0,,,16.0,162.5,0.0,0.0,0.0,1.0,0.0,New_season,1.0,14.0,16.0,0.0,4.666666666666667
SRH,RashidKhan,INT,14.0,3.0,1.0,11.0,6.0,5.5,9.0,122.22,0.0,0.0,0.0,0.0,1.0,older_season,1.0,13.0,0.0,9.0,4.333333333333333
SRH,VRVSingh,IND,13.0,2.0,0.0,4.0,4.0,2.0,3.0,133.33,0.0,0.0,1.0,1.0,0.0,older_season,0.0,5.0,3.0,0.0,2.5
SRH,BKumar,IND,31.0,10.0,,25.0,,,37.0,144.4,0.0,0.0,2.0,2.0,0.0,New_season,1.0,15.0,18.5,0.0,1.5
SRH,SandeepSharma,IND,36.0,10.0,,18.0,,,22.0,280.0,0.0,0.0,3.0,2.0,0.0,New_season,2.0,14.0,11.0,0.0,1.4
SRH,SandeepSharma,IND,56.0,13.0,12.0,26.0,19.0,9.0,35.0,309.82,0.0,0.0,0.0,1.0,0.0,older_season,4.0,13.0,35.0,0.0,1.0
