Player_name,NATIONALITY,team_name,international_matches,ipl_matches_older,ipl_matches_New,international_Inns,ipl_Inns_older,ipl_Inns_New,international_Runs,ipl_Runs_older,ipl_Runs_New,international_HS,ipl_HS_older,ipl_HS_New,international_Ave,ipl_Ave_older,ipl_Ave_New,international_BF,ipl_BF_older,ipl_BF_New,international_SR,ipl_SR_older,ipl_SR_New,international_Century,ipl_Century_older,ipl_Century_New,international_fifty,ipl_fifty_older,ipl_fifty_New,international_ducks,ipl_ducks_older,ipl_ducks_New,international_fours,ipl_fours_older,ipl_fours_New,international_sixes,ipl_sixes_older,ipl_sixes_New,international_dream_11_points,ipl_dream_11_points_older,ipl_dream_11_points_New,international_consistency,ipl_consistency_older,ipl_consistency_New,dream_11_points_final_points
KLRahul,IND,KXIP,48.0,39.0,42.0,44.0,30.0,42.0,1543.0,725.0,1922.0,110*,170.0,0.0,40.6,103.25999999999999,0.0,1078,577.0,1372.0,143.13,485.39,423.13,2.0,0.0,2.0,12.0,4.0,17.0,4.0,1.0,0.0,136.0,61.0,173.0,63.0,24.0,80.0,1927.0,866.0,2429.0,43.8,28.87,57.83,47.54
DAWarner,INT,SRH,24.0,114.0,28.0,24.0,114.0,28.0,670.0,4014.0,1240.0,100*,821.0,0.0,37.22,354.57000000000005,0.0,488,2824.0,888.0,137.29,1270.1100000000001,278.5,1.0,3.0,1.0,6.0,36.0,12.0,1.0,7.0,0.0,67.0,401.0,109.0,16.0,160.0,35.0,833.0,5075.0,1535.0,34.71,44.52,54.82,46.62
ABdeVilliers,INT,RCB,11.0,129.0,40.0,11.0,118.0,38.0,414.0,3473.0,1376.0,65*,809.0,0.0,46,359.40999999999997,0.0,261,2344.0,848.0,158.62,1410.07,487.28,0.0,3.0,0.0,3.0,22.0,16.0,0.0,8.0,1.0,29.0,287.0,103.0,21.0,156.0,79.0,513.0,4306.0,1777.0,46.64,36.49,46.76,44.57
RDGaikwad,IND,CSK,0.0,0.0,6.0,0.0,0.0,6.0,0.0,0.0,204.0,0,0.0,0.0,0,0.0,0.0,0,0.0,169.0,0.0,0.0,120.71,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,16.0,0.0,0.0,6.0,0.0,0.0,252.0,0.0,0.0,42.0,42.0
VKohli,IND,RCB,49.0,149.0,43.0,46.0,141.0,43.0,1687.0,4418.0,1460.0,94*,721.0,0.0,52.71,370.34,0.0,1160,3403.0,1093.0,145.43,1260.8499999999997,401.90999999999997,0.0,4.0,1.0,14.0,30.0,9.0,3.0,6.0,0.0,132.0,382.0,121.0,61.0,159.0,42.0,2049.0,5420.0,1757.0,44.54,38.44,40.86,41.46
JCButtler,INT,RR,34.0,24.0,34.0,32.0,24.0,33.0,984.0,527.0,1187.0,83*,118.0,0.0,37.84,50.379999999999995,0.0,684,361.0,785.0,143.85,292.25,451.43,0.0,0.0,0.0,8.0,1.0,10.0,2.0,1.0,0.0,93.0,50.0,117.0,39.0,26.0,51.0,1217.0,641.0,1496.0,38.03,26.71,45.33,39.23
SDhawan,IND,DC,46.0,127.0,49.0,44.0,126.0,49.0,1299.0,3561.0,1636.0,92,675.0,0.0,30.2,311.23,0.0,995,2922.0,1174.0,130.55,1183.81,417.30999999999995,0.0,0.0,2.0,9.0,28.0,13.0,0.0,4.0,6.0,137.0,401.0,190.0,39.0,71.0,37.0,1588.0,4320.0,2030.0,36.09,34.29,41.43,38.33
QdeKock,INT,MI,22.0,26.0,40.0,22.0,26.0,40.0,714.0,726.0,1233.0,79*,229.0,0.0,34,101.59,0.0,483,549.0,918.0,147.82,452.21,397.48,0.0,1.0,0.0,6.0,5.0,9.0,1.0,1.0,2.0,65.0,90.0,111.0,36.0,21.0,55.0,899.0,912.0,1526.0,40.86,35.08,38.15,38.32
CHGayle,INT,KXIP,15.0,101.0,31.0,13.0,100.0,31.0,150.0,3626.0,1146.0,40,858.0,0.0,11.53,356.16999999999996,0.0,142,2398.0,781.0,105.63,1306.41,436.77,0.0,5.0,1.0,0.0,21.0,10.0,2.0,6.0,1.0,14.0,293.0,90.0,8.0,265.0,84.0,176.0,4709.0,1506.0,13.54,47.09,48.58,37.75
FduPlessis,INT,CSK,19.0,53.0,31.0,19.0,46.0,31.0,533.0,1295.0,1007.0,78,259.0,0.0,29.61,132.26,0.0,400,1012.0,769.0,133.25,626.29,389.69,0.0,0.0,0.0,3.0,8.0,8.0,0.0,2.0,1.0,50.0,110.0,95.0,20.0,38.0,35.0,649.0,1543.0,1236.0,34.16,33.54,39.87,36.83
KSWilliamson,INT,SRH,36.0,15.0,38.0,36.0,15.0,37.0,953.0,411.0,1208.0,95,165.0,0.0,28.87,94.32,0.0,766,318.0,883.0,124.41,367.90999999999997,396.19,0.0,0.0,0.0,8.0,3.0,12.0,2.0,0.0,1.0,80.0,35.0,101.0,31.0,11.0,43.0,1155.0,496.0,1493.0,32.08,33.07,40.35,36.34
IshanKishan,IND,MI,2.0,16.0,35.0,2.0,15.0,31.0,60.0,319.0,892.0,56,88.0,0.0,30,36.1,0.0,41,247.0,638.0,146.34,236.89000000000001,396.21,0.0,0.0,0.0,1.0,1.0,6.0,0.0,1.0,4.0,5.0,34.0,66.0,4.0,13.0,51.0,83.0,387.0,1104.0,41.5,25.8,35.61,35.32
CALynn,INT,MI,13.0,12.0,29.0,12.0,12.0,29.0,226.0,384.0,896.0,44,159.0,0.0,18.83,109.16,0.0,173,243.0,667.0,130.63,479.63,269.88,0.0,0.0,0.0,0.0,3.0,7.0,1.0,0.0,3.0,25.0,31.0,97.0,10.0,23.0,40.0,271.0,489.0,1121.0,22.58,40.75,38.66,34.27
RGSharma,IND,MI,53.0,159.0,41.0,52.0,154.0,41.0,1579.0,4207.0,1023.0,118,785.0,0.0,32.89,329.21000000000004,0.0,1072,3214.0,790.0,147.29,1308.7800000000002,389.28000000000003,3.0,1.0,0.0,11.0,32.0,7.0,3.0,9.0,4.0,138.0,354.0,104.0,85.0,172.0,41.0,2019.0,5169.0,1259.0,38.83,33.56,30.71,33.74
RRPant,IND,DC,31.0,24.0,44.0,28.0,24.0,44.0,482.0,564.0,1515.0,65*,166.0,0.0,20.95,50.89,0.0,393,373.0,995.0,122.64,295.87,450.21,0.0,0.0,1.0,2.0,3.0,9.0,3.0,3.0,1.0,35.0,47.0,136.0,21.0,30.0,73.0,569.0,695.0,1893.0,20.32,28.96,43.02,33.26
NRana,IND,KKR,0.0,17.0,43.0,0.0,15.0,40.0,0.0,437.0,1000.0,0,132.0,0.0,0,64.92999999999999,0.0,0,339.0,721.0,0.0,264.78999999999996,415.99,0.0,0.0,0.0,0.0,4.0,7.0,0.0,0.0,4.0,0.0,31.0,96.0,0.0,25.0,47.0,0.0,552.0,1244.0,0.0,36.8,31.1,32.81
SAYadav,IND,MI,1.0,55.0,46.0,0.0,42.0,44.0,0.0,608.0,1416.0,0,171.0,0.0,0,93.74,0.0,0,465.0,1039.0,0.0,525.6800000000001,409.20000000000005,0.0,0.0,0.0,0.0,1.0,10.0,0.0,2.0,3.0,0.0,54.0,167.0,0.0,21.0,37.0,-6.0,706.0,1737.0,0.0,16.81,39.48,32.68
SPDSmith,INT,DC,19.0,69.0,26.0,16.0,62.0,24.0,446.0,1703.0,630.0,80*,400.0,0.0,37.16,227.68,0.0,330,1293.0,512.0,135.15,797.59,247.22,0.0,1.0,0.0,3.0,5.0,6.0,0.0,1.0,0.0,40.0,150.0,62.0,11.0,45.0,13.0,534.0,2007.0,768.0,33.38,32.37,32.0,32.49
SKRaina,IND,CSK,20.0,161.0,32.0,17.0,157.0,32.0,442.0,4540.0,828.0,69,790.0,0.0,26,349.75,0.0,316,3265.0,650.0,139.87,1387.19,254.41,0.0,1.0,0.0,2.0,31.0,7.0,2.0,7.0,1.0,37.0,402.0,91.0,19.0,173.0,21.0,531.0,5556.0,1011.0,31.24,35.39,31.59,32.28
ADRussell,INT,KKR,13.0,34.0,40.0,13.0,25.0,36.0,305.0,574.0,943.0,47,144.0,0.0,38.12,93.07,0.0,165,331.0,501.0,184.84,642.1299999999999,534.04,0.0,0.0,0.0,0.0,3.0,5.0,0.0,0.0,2.0,14.0,48.0,57.0,32.0,37.0,92.0,389.0,730.0,1234.0,29.92,29.2,34.28,31.91
EJGMorgan,INT,KKR,43.0,52.0,14.0,39.0,45.0,14.0,946.0,854.0,418.0,91,274.0,0.0,29.56,119.0,0.0,644,705.0,302.0,146.89,707.4699999999999,138.41,0.0,0.0,0.0,7.0,4.0,1.0,2.0,2.0,0.0,66.0,72.0,32.0,54.0,34.0,24.0,1174.0,1022.0,508.0,30.1,22.71,36.29,31.58
SSIyer,IND,DC,27.0,32.0,47.0,25.0,32.0,47.0,513.0,807.0,1393.0,67,198.0,0.0,28.5,72.56,0.0,393,628.0,1117.0,130.53,337.21000000000004,375.79,0.0,0.0,0.0,3.0,6.0,10.0,2.0,5.0,0.0,39.0,79.0,110.0,21.0,32.0,51.0,616.0,988.0,1687.0,24.64,30.88,35.89,31.46
MSDhoni,IND,CSK,34.0,159.0,45.0,29.0,143.0,39.0,635.0,3561.0,1071.0,56,612.0,0.0,45.35,402.19,0.0,468,2604.0,783.0,135.68,1369.35,401.54999999999995,0.0,0.0,0.0,2.0,17.0,6.0,0.0,3.0,0.0,50.0,251.0,62.0,21.0,156.0,60.0,745.0,4270.0,1307.0,25.69,29.86,33.51,30.4
ShubmanGill,IND,KKR,0.0,0.0,41.0,0.0,0.0,38.0,0.0,0.0,939.0,0,0.0,0.0,0,0.0,0.0,0,0.0,750.0,0.0,0.0,388.35999999999996,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,87.0,0.0,0.0,24.0,0.0,0.0,1132.0,0.0,0.0,29.79,29.79
MKPandey,IND,SRH,37.0,103.0,43.0,31.0,96.0,39.0,690.0,2215.0,1053.0,79*,631.0,0.0,49.28,308.45,0.0,540,1844.0,842.0,127.77,1125.4799999999998,373.85,0.0,1.0,0.0,3.0,9.0,9.0,1.0,11.0,1.0,48.0,197.0,91.0,18.0,64.0,29.0,796.0,2604.0,1274.0,25.68,27.12,32.67,29.41
ATRayudu,IND,CSK,3.0,114.0,45.0,2.0,107.0,44.0,39.0,2416.0,1243.0,20,485.0,0.0,19.5,217.07,0.0,42,1915.0,987.0,92.85,1012.58,370.11,0.0,0.0,1.0,0.0,14.0,5.0,0.0,9.0,3.0,5.0,205.0,103.0,0.0,79.0,53.0,44.0,2879.0,1504.0,22.0,26.91,34.18,29.0
NPooran,INT,KXIP,27.0,0.0,21.0,24.0,0.0,20.0,392.0,0.0,521.0,58,0.0,0.0,19.6,0.0,0.0,323,0.0,315.0,121.36,0.0,326.71000000000004,0.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,1.0,29.0,0.0,32.0,21.0,0.0,39.0,475.0,0.0,653.0,19.79,0.0,32.65,28.79
MAAgarwal,IND,KXIP,0.0,53.0,35.0,0.0,48.0,35.0,0.0,814.0,876.0,0,263.0,0.0,0,109.68,0.0,0,660.0,599.0,0.0,818.95,425.97999999999996,0.0,0.0,1.0,0.0,3.0,4.0,0.0,3.0,2.0,0.0,82.0,79.0,0.0,33.0,34.0,0.0,982.0,1073.0,0.0,20.46,30.66,27.6
RVUthappa,IND,CSK,0.0,149.0,40.0,0.0,143.0,39.0,0.0,3778.0,829.0,0,693.0,0.0,0,293.55999999999995,0.0,0,2870.0,674.0,0.0,1321.15,367.06,0.0,0.0,0.0,0.0,22.0,2.0,0.0,6.0,1.0,0.0,377.0,77.0,0.0,125.0,38.0,0.0,4585.0,998.0,0.0,32.06,25.59,27.53
AMRahane,IND,DC,3.0,111.0,38.0,3.0,105.0,35.0,51.0,3057.0,876.0,40,586.0,0.0,25.5,267.28,0.0,46,2535.0,705.0,110.86,991.05,361.69999999999993,0.0,1.0,1.0,0.0,25.0,3.0,0.0,10.0,3.0,3.0,320.0,96.0,0.0,60.0,16.0,54.0,3689.0,1040.0,18.0,35.13,29.71,27.34
RATripathi,IND,KKR,0.0,14.0,31.0,0.0,14.0,30.0,0.0,391.0,597.0,0,93.0,0.0,0,27.92,0.0,0,267.0,466.0,0.0,146.44,381.88,0.0,0.0,0.0,0.0,2.0,3.0,0.0,1.0,0.0,0.0,43.0,52.0,0.0,17.0,20.0,0.0,484.0,715.0,0.0,34.57,23.83,27.05
PPShaw,IND,DC,0.0,0.0,38.0,0.0,0.0,38.0,0.0,0.0,826.0,0,0.0,0.0,0,0.0,0.0,0,0.0,591.0,0.0,0.0,423.35,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,4.0,0.0,0.0,99.0,0.0,0.0,27.0,0.0,0.0,1027.0,0.0,0.0,27.03,27.03
SVSamson,IND,RR,6.0,66.0,41.0,6.0,62.0,41.0,64.0,1426.0,1158.0,23,375.0,0.0,10.66,126.24000000000001,0.0,46,1146.0,786.0,139.13,618.79,445.39,0.0,1.0,1.0,0.0,7.0,6.0,0.0,4.0,4.0,2.0,112.0,79.0,4.0,57.0,58.0,76.0,1718.0,1417.0,12.67,27.71,34.56,26.55
KAPollard,INT,MI,34.0,123.0,41.0,26.0,113.0,34.0,613.0,2343.0,680.0,75*,472.0,0.0,27.86,231.48000000000002,0.0,463,1599.0,418.0,132.39,1164.69,481.15999999999997,0.0,0.0,0.0,3.0,12.0,3.0,1.0,2.0,2.0,27.0,157.0,39.0,49.0,147.0,51.0,762.0,2906.0,853.0,29.31,25.72,25.09,26.49
VShankar,IND,SRH,9.0,4.0,35.0,4.0,4.0,30.0,101.0,101.0,553.0,43,63.0,0.0,25.25,50.5,0.0,73,75.0,437.0,138.35,134.66,370.70000000000005,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,11.0,12.0,32.0,5.0,1.0,24.0,124.0,125.0,649.0,31.0,31.25,21.63,26.46
DAMiller,INT,RR,39.0,66.0,14.0,35.0,64.0,14.0,784.0,1563.0,287.0,101*,351.0,0.0,31.36,213.17999999999998,0.0,535,1105.0,228.0,146.54,805.24,245.49,1.0,1.0,0.0,2.0,8.0,1.0,0.0,1.0,1.0,52.0,104.0,22.0,41.0,78.0,9.0,952.0,1911.0,327.0,27.2,29.86,23.36,25.88
